seed,swept_param,swept_value,total,category
MD,gt,27.857142857142854,4,MD
MD,gt,29.387755102040813,4,MD
MD,gt,30.918367346938773,6,MD
MD,gt,32.44897959183673,6,MD
MD,gt,33.97959183673469,6,MD
MD,gt,35.51020408163265,6,MD
MD,gt,37.04081632653061,6,MD
MD,gt,38.57142857142857,6,MD
MD,gt,40.10204081632653,6,MD
MD,gt,41.63265306122449,6,MD
MD,gt,43.16326530612245,6,MD
MD,gt,44.69387755102041,6,MD
MD,gt,46.224489795918366,6,MD
MD,gt,47.755102040816325,6,MD
MD,gt,49.28571428571428,6,MD
MD,gt,50.816326530612244,6,MD
MD,gt,52.346938775510196,6,MD
MD,gt,53.87755102040816,6,MD
MD,gt,55.408163265306115,6,MD
MD,gt,56.93877551020408,6,MD
MD,gt,58.469387755102034,6,MD
MD,gt,60.0,6,MD
SD,age,20.0,9,SD
SD,age,21.3265306122449,9,SD
SD,age,22.653061224489797,9,SD
SD,age,23.979591836734695,9,SD
SD,age,25.306122448979593,9,SD
SD,age,26.632653061224488,9,SD
SD,age,27.959183673469386,9,SD
SD,age,29.285714285714285,9,SD
SD,age,30.612244897959183,9,SD
SD,age,31.93877551020408,9,SD
SD,age,33.265306122448976,9,SD
SD,age,34.59183673469388,9,SD
SD,age,35.91836734693877,9,SD
SD,age,37.244897959183675,9,SD
SD,age,38.57142857142857,9,SD
SD,age,39.897959183673464,9,SD
SD,age,41.224489795918366,9,SD
SD,age,42.55102040816327,9,SD
SD,age,43.87755102040816,9,SD
SD,age,45.20408163265306,9,SD
SD,age,46.53061224489796,9,SD
SD,age,47.857142857142854,9,SD
SD,age,49.183673469387756,9,SD
SD,age,50.51020408163265,9,SD
SD,age,51.836734693877546,9,SD
SD,age,53.16326530612245,9,SD
SD,age,54.48979591836734,9,SD
SD,age,55.816326530612244,9,SD
SD,age,57.14285714285714,9,SD
SD,age,58.46938775510204,9,SD
SD,age,59.795918367346935,9,SD
SD,age,61.12244897959184,10,SD
SD,age,62.44897959183673,10,SD
SD,age,63.77551020408163,10,SD
SD,age,65.10204081632654,10,SD
SD,age,66.42857142857142,10,SD
SD,age,67.75510204081633,10,SD
SD,age,69.08163265306122,10,SD
SD,age,70.40816326530611,10,SD
SD,age,71.73469387755102,10,SD
SD,age,73.06122448979592,10,SD
SD,age,74.38775510204081,10,SD
SD,age,75.71428571428571,10,SD
SD,age,77.0408163265306,10,SD
SD,age,78.36734693877551,10,SD
SD,age,79.6938775510204,10,SD
SD,age,81.0204081632653,10,SD
SD,age,82.34693877551021,10,SD
SD,age,83.67346938775509,10,SD
SD,age,85.0,10,SD
SD,pi,25.0,6,MD
SD,pi,26.3265306122449,6,MD
SD,pi,27.653061224489797,6,MD
SD,pi,28.979591836734695,6,MD
SD,pi,30.306122448979593,6,MD
SD,pi,31.632653061224488,6,MD
SD,pi,32.95918367346939,8,SD
SD,pi,34.285714285714285,10,SD
SD,pi,35.61224489795919,10,SD
SD,pi,36.93877551020408,10,SD
SD,pi,38.265306122448976,10,SD
SD,pi,39.59183673469388,10,SD
SD,pi,40.91836734693877,10,SD
SD,pi,42.244897959183675,10,SD
SD,pi,43.57142857142857,10,SD
SD,pi,44.897959183673464,10,SD
SD,pi,46.224489795918366,8,SD
SD,pi,47.55102040816327,9,SD
SD,pi,48.87755102040816,9,SD
SD,pi,50.20408163265306,10,SD
SD,pi,51.53061224489796,10,SD
SD,pi,52.857142857142854,10,SD
SD,pi,54.183673469387756,10,SD
SD,pi,55.51020408163265,10,SD
SD,pi,56.836734693877546,10,SD
SD,pi,58.16326530612245,10,SD
SD,pi,59.48979591836734,10,SD
SD,pi,60.816326530612244,10,SD
SD,pi,62.14285714285714,10,SD
SD,pi,63.46938775510204,9,SD
SD,pi,64.79591836734693,9,SD
SD,pi,66.12244897959184,9,SD
SD,pi,67.44897959183673,9,SD
SD,pi,68.77551020408163,9,SD
SD,pi,70.10204081632654,9,SD
SD,pi,71.42857142857142,9,SD
SD,pi,72.75510204081633,9,SD
SD,pi,74.08163265306122,9,SD
SD,pi,75.40816326530611,9,SD
SD,pi,76.73469387755102,9,SD
SD,pi,78.06122448979592,9,SD
SD,pi,79.38775510204081,9,SD
SD,pi,80.71428571428571,9,SD
SD,pi,82.0408163265306,9,SD
SD,pi,83.36734693877551,9,SD
SD,pi,84.6938775510204,9,SD
SD,pi,86.0204081632653,9,SD
SD,pi,87.34693877551021,9,SD
SD,pi,88.67346938775509,9,SD
SD,pi,90.0,9,SD
SD,ss,5.0,10,SD
SD,ss,6.224489795918368,10,SD
SD,ss,7.448979591836735,10,SD
SD,ss,8.673469387755102,10,SD
SD,ss,9.89795918367347,10,SD
SD,ss,11.122448979591837,10,SD
SD,ss,12.346938775510203,10,SD
SD,ss,13.571428571428571,10,SD
SD,ss,14.795918367346939,10,SD
SD,ss,16.02040816326531,10,SD
SD,ss,17.244897959183675,10,SD
SD,ss,18.46938775510204,10,SD
SD,ss,19.693877551020407,10,SD
SD,ss,20.918367346938776,10,SD
SD,ss,22.142857142857142,10,SD
SD,ss,23.367346938775512,10,SD
SD,ss,24.591836734693878,10,SD
SD,ss,25.816326530612244,10,SD
SD,ss,27.040816326530614,10,SD
SD,ss,28.26530612244898,10,SD
SD,ss,29.48979591836735,9,SD
SD,ss,30.714285714285715,9,SD
SD,ss,31.93877551020408,9,SD
SD,ss,33.163265306122454,9,SD
SD,ss,34.38775510204081,9,SD
SD,ss,35.61224489795919,9,SD
SD,ss,36.83673469387755,9,SD
SD,ss,38.06122448979592,7,SD
SD,ss,39.285714285714285,7,SD
